state,name,pop2019,age_over_65_2019,households_speak_spanish_2019,hs_grad_2019,bachelors_2019,household_has_computer_2019,poverty_2019,uninsured_2019,unemployment_rate_2019,per_capita_income_2019,median_household_income_2019
California,Monterey County,433410,13.2,41.6,71.5,24.7,74.9,13.1,9.8,4.6,30073,71015
California,Napa County,139623,18.6,21.7,85.5,35.7,85.5,7.8,5.9,4.3,45195,88596
California,Nevada County,99244,26.5,4.6,94.4,37.2,85.7,11,6.5,3.8,39233,66096
California,Orange County,3168044,14.4,21.6,85.5,40.6,87.6,10.9,7.6,4.3,41514,90234
California,Placer County,385512,19.1,7.2,94.5,39.7,90.2,7.7,4,3.8,43759,89691
California,Riverside County,2411439,14.1,33.1,82,22.3,81,13.7,8.8,6.9,28596,67005
California,Sacramento County,1524553,13.7,13.9,87.7,30.9,83.6,14.7,5.5,6.1,32751,67151
California,San Benito County,60376,12.5,35.5,80.5,19.7,82.8,8.4,7.5,6.3,33174,86958
California,San Bernardino County,2149031,11.3,34.5,80,21,77.6,16,8.4,7,25215,63362
California,San Diego County,3316073,13.7,23.1,87.4,38.8,86.4,11.6,7.8,5.6,38073,78980
California,San Francisco County,874961,15.4,10.1,88.5,58.1,86.1,10.3,3.7,4,68883,112449
California,San Joaquin County,742603,12.5,26.2,79.3,18.8,74.3,14.5,6.4,7.1,27521,64432
California,San Luis Obispo County,282165,19.4,13.2,91.3,35.4,86.2,12.5,6,3.6,37233,73518
California,San Mateo County,767423,15.8,16.2,89.6,51,89.1,6.7,4.2,3.6,61545,122641
California,Santa Barbara County,444829,15,30.1,80.9,34.2,82.6,13.5,10,5.2,36039,74624
California,Santa Clara County,1927470,13.2,15.9,88.4,52.4,89.9,7.5,4.3,4.1,56248,124055
California,Santa Cruz County,273962,15.8,22.2,86.3,40.8,85.2,13.1,5.1,5.2,41312,82234
California,Shasta County,179212,20.2,5.4,91.1,22.2,76.8,16.7,6.5,5.1,29720,54667
California,Siskiyou County,43468,24.7,5.4,90.2,23.2,74.8,18.8,5.9,7.3,28615,45241
California,Solano County,441829,15.2,15.8,88.4,26.9,84,9.5,4.7,5.7,35400,81472
California,Sonoma County,499772,19,16.1,88.8,35.5,86.1,9.2,6.1,4,42178,81018
California,Stanislaus County,543194,12.8,33.6,78.9,17.1,74,15.1,5.7,8.6,26258,60704
California,Sutter County,96109,15,21.2,78.2,18.2,74.4,15.5,8,7.8,27371,59050
California,Tehama County,63912,19.3,16.6,84.5,15.7,71,22.1,6.3,8.2,24301,44514
California,Tulare County,461898,11.2,47.8,70.8,14.6,65.2,23.8,8.1,9.2,21380,49687
California,Tuolumne County,54045,25.6,4.5,90.7,20.5,79.4,12.8,5.5,5.4,34702,60108
California,Ventura County,847263,15.1,27.1,85,33.8,83.9,8.9,8.8,4.7,38595,88131
California,Yolo County,217352,12.1,22.1,86.5,41.4,84.6,19.1,4.8,5.7,34515,70228
California,Yuba County,76360,12.3,19.1,82.3,17.1,73.9,15.5,7.2,6.7,25583,58054
Colorado,Adams County,504108,10.1,22,83.8,24.3,80,10.8,10.1,3.5,30313,71202
Colorado,Arapahoe County,644560,12.7,11.3,92.6,42.8,87,8.1,7.7,3.7,40443,77469
Colorado,Boulder County,322510,13.7,8.6,95,62.1,90.8,11.7,4.6,3.8,46826,83019
Colorado,Delta County,30565,25.3,8.7,90.7,21.7,73.9,18.3,8.5,5.7,26499,45269
Colorado,Denver County,705576,11.5,15.4,88,49.4,82.4,12.9,9.3,3.6,43770,68592
Colorado,Douglas County,336041,11.4,5.4,98.1,58,95,3.1,2.8,2.5,53313,119730
Colorado,El Paso County,698974,12.5,8.9,94.2,38.5,86.1,10.1,7.2,5.2,33728,68779
Colorado,Fremont County,47321,21.2,2.4,90.1,18.5,78.8,14.5,6.9,4.2,22692,49409
Colorado,Jefferson County,574798,16,7.5,94.5,45.2,88.1,7.1,5.5,3.4,44119,82986
Colorado,Larimer County,344786,15.1,6.7,95.9,47.3,89.6,11.6,5.9,4.1,37363,71881
Colorado,Mesa County,151218,18.6,6.5,90.5,28.2,80.3,14.2,9.7,6.1,29596,55379
Colorado,Montrose County,41686,23.1,14.6,89,25.2,77.6,15.1,10.6,6.3,28078,50489
Colorado,Pueblo County,165982,18.2,17.1,89.7,21.8,70.9,18.9,6.7,6.6,25051,46783
Colorado,Weld County,305345,11.9,17.8,88.1,27.5,82.1,10,7.9,3.6,31793,74150
Connecticut,Fairfield County,943926,15.5,15.6,90,47.9,84.5,8.9,8.4,6.1,57263,95645
Connecticut,Hartford County,893561,16.8,14.1,89.7,38.1,78.5,10.8,4.1,5.2,40540,75148
Connecticut,Litchfield County,182002,20.6,4.4,93,35.4,83.3,6.9,3.9,4.6,44480,79906
Connecticut,Middlesex County,163053,19.7,5.2,94.2,42.2,83.8,6.9,3.2,4.4,46023,85898
Connecticut,New Haven County,857513,17,13.7,90.1,35,77.4,11.7,5,6.1,38009,69905
Connecticut,New London County,267390,17.7,7.7,92.3,33.3,80.6,9.4,4,5.4,39426,73490
Connecticut,Tolland County,151063,15.3,4,95,41.8,85.8,7.3,2.6,4.5,41371,87069
Connecticut,Windham County,116566,16.1,9.4,88.4,24.3,77,11.4,4.1,5.1,32732,66550
Delaware,Kent County,176699,16.6,5.8,87.4,23.7,77.1,13.5,7.1,5,28845,60910
Delaware,New Castle County,556165,15.2,7.2,91.6,36.2,77.4,11.4,4.9,5.4,37532,73892
Delaware,Sussex County,224384,27,6,88.1,28.3,77.1,11.3,6.7,4.1,35491,63162
District of Columbia,District of Columbia,692683,12.1,8.8,90.9,58.5,80.5,16.2,3.7,6.6,56147,86420
Florida,Alachua County,265443,13.7,7.9,92.6,43.3,82.3,21.4,8.4,4.7,28646,49689
Florida,Bay County,182161,17,4.8,90.7,23.7,77.8,14.6,13.1,4.8,29290,54316
Florida,Brevard County,585507,23.4,7.5,92.2,30.2,84.2,11.8,10.2,4.9,32176,56775
Florida,Broward County,1926205,16.3,27.6,89,32.4,82,13.1,14.2,5.7,32909,59547
Florida,Charlotte County,181067,39.6,4.7,90.6,23.4,80.3,11.1,10.4,5.7,32144,51499
Florida,Citrus County,145169,36.3,4.3,88.4,18.3,79.3,15.7,10.2,7.4,26989,44237
Florida,Clay County,211405,15.4,8.6,91.8,24.9,84.5,10.2,10.3,5.5,30483,65740
Florida,Collier County,371453,31.6,18.4,87.1,36.4,81.4,11.2,15.4,3.7,45567,69653
Florida,Columbia County,69968,18.3,4.3,86.1,14.9,72.3,15.8,12.5,8,24275,46494
Florida,DeSoto County,36903,21.7,27.4,73.5,11.5,54.3,26.8,19.2,4.6,18503,35438
Florida,Duval County,936186,13.7,7.7,89.8,30,77.2,14.5,11.8,5.4,31327,55807
Florida,Escambia County,313491,16.6,3.3,90.5,26.5,79.6,14,10.3,5.7,28022,50915
Florida,Flagler County,109801,30,7.8,92.2,25.1,79.1,12.4,13.4,4.2,29383,54514
Florida,Gadsden County,45945,17.3,7.7,79.8,16.2,58.3,22.8,14.1,6.6,20734,41401
Florida,Hardee County,27131,15.8,31.7,77.2,10.2,56,24.1,11.7,5.2,17754,38682
Florida,Hendry County,40732,13.1,45.9,66.3,8.3,50.4,25.3,25.6,6.5,19167,40820
Florida,Hernando County,186313,27.5,9,87.9,18.4,81.6,14.1,12.2,6,25860,48812
Florida,Highlands County,103437,35.2,14.7,85.7,17.2,70.2,18.6,11.1,8.1,25752,40942
Florida,Hillsborough County,1422278,13.9,23.4,88.7,33.5,81.4,14.6,12.6,5.1,32343,58884
Florida,Indian River County,153989,32.3,7.5,89.4,29.1,79.1,11.4,11.8,6.4,36516,54740
Florida,Jackson County,47945,19.3,2.6,80.5,12.6,58.3,19.4,11.3,6,20019,39872
Florida,Lake County,345867,26.5,11.2,89.5,24,80.2,12,10.3,5,28348,54513
Florida,Lee County,737468,28.1,14.9,88.4,28.2,82,13.1,13.3,5.1,33543,57832
Florida,Leon County,289770,12.9,5.8,93.5,46.2,84.8,20.5,8.1,6,30586,53106
Florida,Levy County,40403,24.1,5.9,84.9,12.2,67,20.7,15.2,5.5,21579,37326
Florida,Manatee County,384213,27,10.5,89.7,29.8,81.3,11.8,12.2,5.5,33853,59009
Florida,Marion County,353526,28.6,9.3,87.6,20.1,75.9,16.1,11.4,8.2,25839,45371
Florida,Martin County,159065,30.6,8.6,91,34.1,81.4,9.9,10.4,4.4,42199,61133
Florida,Miami-Dade County,2699428,16,67.8,81.4,29.8,75.5,17.1,16.8,5.1,28224,51347
Florida,Monroe County,75798,22.1,16.8,91.4,34.4,82.4,10.9,18.2,3,46028,70033
Florida,Nassau County,83098,21.5,4.2,91.3,29.6,83.7,10.5,10.5,3.7,36553,69943
Florida,Okaloosa County,203794,15.7,8.3,92.4,31.1,82.3,10.9,11.7,5.2,33019,63412
Florida,Okeechobee County,41144,19.8,15.6,77.2,11.3,63.8,21,16.1,5.5,21367,41760
Florida,Orange County,1349746,11.6,27.1,88.5,34.6,83.6,14.9,13.3,4.7,30456,58254
Florida,Osceola County,351955,13,47.2,86.7,21.8,79.7,14.8,14.5,4.8,22196,52279
Florida,Palm Beach County,1465027,23.6,17.5,88.5,36.7,80.5,12.2,13,5.4,39933,63299
Florida,Pasco County,524602,22.5,10.3,89.5,24,81.5,12.7,11.5,5.3,29001,52828
Florida,Pinellas County,964666,24.3,7,91.3,31.7,80.1,12.2,10.9,5.2,35196,54090
Florida,Polk County,686218,20.2,17,85,20.2,73.2,15.8,12.7,5.6,24864,50584
Florida,Putnam County,73252,22.7,6.7,81.8,12.3,64,23.6,16,8.4,20915,37670
Florida,St. Johns County,244674,19.7,4.8,94.8,44.7,87.2,8.2,8,4.3,43194,82252
Florida,St. Lucie County,312947,23.8,15,86.3,21.6,80.3,13.3,13.7,5.2,27121,52322
Florida,Santa Rosa County,174755,15.8,4.5,91.3,27.7,85.2,9.7,9.3,4.9,31691,67949
Florida,Sarasota County,419496,36,5.9,93.1,35.4,82.2,9,11,4.3,41081,62236
Florida,Seminole County,461402,15.2,17.5,94.3,39.6,87.2,10.6,9.5,4.6,35175,66768
Florida,Sumter County,125044,56.7,2.8,92.1,31.8,85.1,8.2,5.6,3.9,35560,57226
Florida,Suwannee County,44046,20.5,7.9,82.3,15.5,69.3,14.9,13.9,5.6,22808,47839
Florida,Volusia County,536487,24.2,10.5,90.5,23.7,77.8,14.3,11.5,4.6,28517,49494
Florida,Walton County,68262,19.5,5.3,89.1,28.5,78,13.2,12.9,4.5,34475,58093
Georgia,Baldwin County,45111,15.4,1.8,85.8,23.3,69.2,23.6,11.9,6.1,21716,43672
Georgia,Barrow County,78991,12.3,8.2,84.5,19,79.1,12.6,14.4,4.7,25266,62345
Georgia,Bartow County,104919,13.7,6.6,83.6,18.6,73.1,14,14.9,4.5,26493,57423
Georgia,Bibb County,153200,15.2,2.5,86,25.4,68,24.9,12.9,6.7,25640,41334
Georgia,Bulloch County,76120,11.1,3.5,87.3,27,73.5,26.4,13.3,6.2,22328,45550
Georgia,Camden County,53231,12.7,3.8,91.3,23.9,76.9,15.5,12.2,6.1,29741,56951
Georgia,Carroll County,117183,13.4,5,84.6,21.1,73.8,17.3,12.3,6.3,24993,53737
Georgia,Catoosa County,66700,17.2,2.2,87.5,21.4,73.4,9.9,11.5,4,27308,56235
Georgia,Chatham County,288496,14.9,7.3,89.9,33.6,77.7,15.1,14.2,6.5,32229,56842
Georgia,Cherokee County,247515,13.4,7.8,92.1,38.2,88.1,7.5,10.8,3.3,36503,82740
Georgia,Clarke County,126176,10.6,8.5,88,44,80.9,29.6,13.5,4.2,23827,38623
Georgia,Clayton County,283538,9,9.9,84.8,19.5,75.2,18.6,18.4,7.2,20970,47864
Georgia,Cobb County,751218,11.9,10.5,92.1,47.4,88.4,9.1,12.3,4,40031,77932
Georgia,Coffee County,43021,13.7,9.5,75.7,13,57.1,19.9,18.6,3.9,19905,40859
Georgia,Colquitt County,45486,15.3,13.8,74.7,12.8,58.6,24.9,21.1,7.9,20529,36435
Georgia,Columbia County,150705,13.2,5.8,92.7,36.4,82.3,7.5,7.9,4.5,34579,82339
Georgia,Coweta County,143260,13.5,6.4,89.2,30.3,81.2,10.7,9.7,3.9,33875,75913
Georgia,Crisp County,22713,18.2,5.8,82.8,14.1,53.5,31.9,15.7,10.3,22933,36042
Georgia,Decatur County,26682,16,2.1,82.5,13.8,49.6,24.3,18.4,4.9,21568,41481
Georgia,DeKalb County,749323,11.9,6.6,89.3,44.2,79.7,15.1,14,6,36077,62399
Georgia,Dougherty County,89703,15.3,2.6,83.4,21.4,63.7,28.4,16.5,11.6,22059,39584
Georgia,Douglas County,143316,11.4,8.1,87.8,28.2,82.1,12.8,12.9,6.1,27743,63835
Georgia,Effingham County,60477,11.4,3.6,88.3,20,79.5,8.5,8.9,3.2,31704,66822
Georgia,Fayette County,112303,17.7,6.1,95.3,46.2,90,5.5,7.2,3.7,44061,90145
Georgia,Floyd County,97369,16.5,7.5,82.4,20.9,66.8,18.4,13.5,5.1,25776,48336
Georgia,Forsyth County,228383,11.7,8,93,53.1,92,5.7,8.8,2.9,43832,107218
Georgia,Fulton County,1036200,11.4,5.8,92.6,52.9,83.2,14.4,10.3,5.2,47163,69673
Georgia,Glynn County,84470,19.7,5.1,88.1,29.9,72.3,18.1,14.1,4.7,33848,52977
Georgia,Gordon County,57202,14.4,12.1,77.9,14.7,68.9,18,15.3,3.3,24092,45865
Georgia,Gwinnett County,915046,9.6,17.4,87.7,36.9,87,10.7,16.5,3.9,30636,71026
Georgia,Habersham County,44626,18.5,9.2,79.6,19.3,66.6,15.1,15.9,3,23046,50563
Georgia,Hall County,198667,14.6,20.6,79.1,24.5,78.1,13.9,17.3,3.5,29680,62984
Georgia,Henry County,225356,11.3,6.2,91.2,28.5,87,8.5,10.3,5,29889,71288
Georgia,Houston County,153507,12.4,6.2,91.6,28.3,78.9,13.9,11.6,5.5,29462,61723
Georgia,Jackson County,67885,14.4,6.6,84.1,22.7,75.9,11.3,11.8,4.1,28915,65385
Georgia,Laurens County,47405,17.2,2.5,85.9,16.2,60.8,27.1,11.4,5.2,21665,39120
Georgia,Liberty County,61349,8.8,10,90.7,18.3,78.7,15.9,11.2,9.4,22811,48007
Georgia,Lowndes County,115364,11.9,4.1,86.6,25.3,71.1,24.4,14.9,5.9,23348,42441
Georgia,Murray County,39724,14.4,8.5,70.7,10.1,63.9,15.6,14.6,5.9,21989,48033
Georgia,Muscogee County,195739,13,6.3,88,25.8,70.2,20.7,11.5,8.5,26097,46408
Georgia,Newton County,108079,12.7,4.3,86.6,19.8,80.8,15.5,13,6.1,25247,56316
Georgia,Paulding County,159825,10.4,4.4,89.4,22.6,85,8.2,11.5,3.7,27979,68370
Georgia,Polk County,41908,15.4,8.3,78.8,13.7,62.8,18.4,15.7,4.6,23857,44891
Georgia,Richmond County,201852,13.6,4.5,84.1,21.4,66.8,23,13,8.8,22787,42728
Georgia,Rockdale County,89717,14,8.5,88.8,26.3,80,13.1,13.7,5.5,28320,60189
Georgia,Spalding County,65306,17.7,3.4,81.9,17.8,69.8,17.9,14.5,4.5,24582,47111
Georgia,Sumter County,30064,16.7,4.5,81.4,18.3,60.4,27.1,11.9,7.1,20654,36681
Georgia,Thomas County,44630,17.6,4.3,84.9,24.7,68.3,19.2,14.9,6.3,27454,43740
Georgia,Tift County,40541,14.5,9.7,81.9,18.1,60.4,23.3,18.8,2.2,22974,45639
Georgia,Toombs County,26972,16.2,8.8,80.1,16.2,57.8,23.3,18.3,7.8,24399,40175
Georgia,Troup County,69919,14.5,3.1,83.4,19,65.3,21.3,11.8,5.5,23124,45649
Georgia,Walker County,69039,18.3,1.6,82,16.6,69.1,16.1,12.3,5.2,24247,46157
Georgia,Walton County,91442,15.2,3.3,86.9,21.7,77.3,12.1,11.7,5.1,27889,61599
Georgia,Ware County,35593,16.9,3.1,81.4,15.2,58.1,24.9,16.3,5.6,20411,36869
Georgia,Whitfield County,104237,13.7,22.9,69.5,15.7,67.1,15.9,16.6,4.9,23974,48623
Hawaii,Hawaii County,199459,20.2,3.6,92.3,29.4,75.3,15.6,4.9,5.9,30542,62409
Hawaii,Honolulu County,984821,17.3,3.1,91.9,35,81.9,8.3,3.3,3.8,36816,85857
Hawaii,Kauai County,71769,19.3,1.5,92.5,29.2,78.1,8.1,5,3.5,33143,83554
Hawaii,Maui County,165979,17.5,4.1,92,27.2,79.8,9.3,5,3.9,35241,80948
Idaho,Ada County,456849,14,5,95.2,38.5,86.8,10.8,8.3,3.4,34919,66293
Idaho,Bannock County,85765,13.8,5.3,92.5,27.8,80.9,16.4,8.8,5.2,25076,51734
Idaho,Bingham County,45839,13.7,13.3,89.2,21.2,78.4,11.2,10.5,4.2,23059,55472
Idaho,Bonner County,43611,23.8,2.3,90.8,23.8,76.2,14.6,10.3,3.3,27918,50256
Idaho,Bonneville County,114392,13.1,10.1,92,31.3,82.4,10.5,8.3,2.8,28671,60615
Idaho,Canyon County,217633,13.4,16.2,85.1,18.7,78.9,13.4,13.6,4.5,22232,52134
Idaho,Kootenai County,157322,18.5,2.5,93.2,25.2,80,11.7,9.7,3.6,29948,57242
Idaho,Latah County,39505,13,2.6,95.8,45.4,87.7,18.1,6.5,2.9,27011,49158
Idaho,Madison County,39100,6.6,10,95.9,36.4,91.6,30.9,5.9,6,16585,39160
Idaho,Twin Falls County,84869,15.1,10,87.1,20.6,77.2,14.3,12,2.8,25352,52919
Illinois,Adams County,66085,20,1.1,92.5,25,70.3,12.5,4.7,4.1,30343,52993
Illinois,Boone County,53537,15.6,15.8,86.2,23.5,81.3,10.1,6,5.4,31943,69272
Illinois,Champaign County,209922,12.4,5.3,95,45,83.6,20,4,4.6,30578,52797
Illinois,Coles County,51353,16.5,1.9,91.4,26,73.6,20.8,6.1,5.1,28084,46202
